start_station_id,end_station_id,count,station_name.x,lat.x,lon.x,station_name.y,lat.y,lon.y
80,67,1035,MIT Stata Center at Vassar St / Main St,42.3619622,-71.0920526,MIT at Mass Ave / Amherst St,42.3581,-71.093198
22,65,1004,South Station - 700 Atlantic Ave.,42.352175,-71.055547,Boston Convention & Exhibition Center,42.3475,-71.0441
25,16,997,Tremont St / W Newton St,42.341332,-71.076847,Back Bay / South End Station,42.34807412317439,-71.07657015323639
40,43,997,Lewis Wharf - Atlantic Ave.,42.363871,-71.050877,Rowes Wharf - Atlantic Ave,42.357143,-71.050699
43,38,972,Rowes Wharf - Atlantic Ave,42.357143,-71.050699,TD Garden - Causeway at Portal Park #2,42.366222,-71.059914
74,76,970,Harvard Square at Mass Ave/ Dunster,42.373268,-71.118579,Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St,42.366426,-71.105495
74,87,960,Harvard Square at Mass Ave/ Dunster,42.373268,-71.118579,Harvard University Housing - 115 Putnam Ave at Peabody Terrace,42.366621,-71.114214
43,40,959,Rowes Wharf - Atlantic Ave,42.357143,-71.050699,Lewis Wharf - Atlantic Ave.,42.363871,-71.050877
76,67,953,Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St,42.366426,-71.105495,MIT at Mass Ave / Amherst St,42.3581,-71.093198
67,55,950,MIT at Mass Ave / Amherst St,42.3581,-71.093198,Boylston / Mass Ave,42.347265,-71.088088
100,111,944,Davis Square,42.396969,-71.123024,Packard Ave / Powderhouse Blvd,42.40449,-71.123413
68,95,940,Central Square at Mass Ave / Essex St,42.36507,-71.1031,Cambridge St - at Columbia St / Webster Ave,42.372969,-71.094445
33,67,938,Kenmore Sq / Comm Ave,42.348706,-71.097009,MIT at Mass Ave / Amherst St,42.3581,-71.093198
84,72,938,CambridgeSide Galleria - CambridgeSide PL at Land Blvd,42.366981,-71.076472,One Broadway / Kendall Sq at Main St / 3rd St,42.362613,-71.084105
111,100,935,Packard Ave / Powderhouse Blvd,42.40449,-71.123413,Davis Square,42.396969,-71.123024
43,47,930,Rowes Wharf - Atlantic Ave,42.357143,-71.050699,Cross St. at Hanover St.,42.362811,-71.056067
87,70,926,Harvard University Housing - 115 Putnam Ave at Peabody Terrace,42.366621,-71.114214,Harvard Kennedy School at Bennett St / Eliot St,42.371196,-71.121473
109,85,922,TD Garden - Causeway at Portal Park #1,42.365942,-71.060515,Spaulding Rehabilitation Hospital - Charlestown Navy Yard,42.378338,-71.048927
74,74,920,Harvard Square at Mass Ave/ Dunster,42.373268,-71.118579,Harvard Square at Mass Ave/ Dunster,42.373268,-71.118579
10,9,916,B.U. Central - 725 Comm. Ave.,42.350406,-71.108279,Agganis Arena - 925 Comm Ave.,42.351246,-71.115639
67,33,914,MIT at Mass Ave / Amherst St,42.3581,-71.093198,Kenmore Sq / Comm Ave,42.348706,-71.097009
39,16,911,Washington St. at Rutland St.,42.338623,-71.074182,Back Bay / South End Station,42.34807412317439,-71.07657015323639
88,80,907,Inman Square at Vellucci Plaza / Hampshire St,42.374035,-71.101427,MIT Stata Center at Vassar St / Main St,42.3619622,-71.0920526
68,105,902,Central Square at Mass Ave / Essex St,42.36507,-71.1031,Lower Cambridgeport at Magazine St/Riverside Rd,42.356954,-71.113687
64,109,887,Congress / Sleeper,42.3511,-71.0496,TD Garden - Causeway at Portal Park #1,42.365942,-71.060515
43,109,882,Rowes Wharf - Atlantic Ave,42.357143,-71.050699,TD Garden - Causeway at Portal Park #1,42.365942,-71.060515
109,151,882,TD Garden - Causeway at Portal Park #1,42.365942,-71.060515,John F Fitzgerald - Surface Road at India Street,42.358154999999996,-71.052163
64,38,876,Congress / Sleeper,42.3511,-71.0496,TD Garden - Causeway at Portal Park #2,42.366222,-71.059914
38,22,866,TD Garden - Causeway at Portal Park #2,42.366222,-71.059914,South Station - 700 Atlantic Ave.,42.352175,-71.055547
115,71,866,Porter Square Station,42.387995,-71.119084,Conway Park - Somerville Avenue,42.383405,-71.107593
42,22,864,Boylston St. at Arlington St.,42.352033,-71.070627,South Station - 700 Atlantic Ave.,42.352175,-71.055547
109,98,856,TD Garden - Causeway at Portal Park #1,42.365942,-71.060515,Charlestown - Warren St at Chelsea St,42.371848,-71.060292
81,22,855,Boylston St / Washington St,42.352409,-71.062679,South Station - 700 Atlantic Ave.,42.352175,-71.055547
95,80,843,Cambridge St - at Columbia St / Webster Ave,42.372969,-71.094445,MIT Stata Center at Vassar St / Main St,42.3619622,-71.0920526
91,107,836,One Kendall Square at Hampshire St / Portland St,42.366277,-71.09169,Ames St at Main St,42.3625,-71.08822
98,38,830,Charlestown - Warren St at Chelsea St,42.371848,-71.060292,TD Garden - Causeway at Portal Park #2,42.366222,-71.059914
88,68,827,Inman Square at Vellucci Plaza / Hampshire St,42.374035,-71.101427,Central Square at Mass Ave / Essex St,42.36507,-71.1031
107,68,820,Ames St at Main St,42.3625,-71.08822,Central Square at Mass Ave / Essex St,42.36507,-71.1031
115,140,811,Porter Square Station,42.387995,-71.119084,Danehy Park,42.388966,-71.132788
98,109,810,Charlestown - Warren St at Chelsea St,42.371848,-71.060292,TD Garden - Causeway at Portal Park #1,42.365942,-71.060515
87,68,806,Harvard University Housing - 115 Putnam Ave at Peabody Terrace,42.366621,-71.114214,Central Square at Mass Ave / Essex St,42.36507,-71.1031
91,115,806,One Kendall Square at Hampshire St / Portland St,42.366277,-71.09169,Porter Square Station,42.387995,-71.119084
96,74,805,Cambridge Main Library at Broadway / Trowbridge St,42.373379,-71.111075,Harvard Square at Mass Ave/ Dunster,42.373268,-71.118579
69,11,804,Coolidge Corner - Beacon St @ Centre St,42.341598,-71.123338,Longwood Ave / Binney St,42.338629,-71.1065
67,72,792,MIT at Mass Ave / Amherst St,42.3581,-71.093198,One Broadway / Kendall Sq at Main St / 3rd St,42.362613,-71.084105
16,25,790,Back Bay / South End Station,42.34807412317439,-71.07657015323639,Tremont St / W Newton St,42.341332,-71.076847
65,22,787,Boston Convention & Exhibition Center,42.3475,-71.0441,South Station - 700 Atlantic Ave.,42.352175,-71.055547
16,13,785,Back Bay / South End Station,42.34807412317439,-71.07657015323639,Boston Medical Center -  East Concord at Harrison Ave,42.336437,-71.073089
75,68,783,Lafayette Square at Mass Ave / Main St / Columbia St,42.36346469304347,-71.10057324171066,Central Square at Mass Ave / Essex St,42.36507,-71.1031
23,22,781,Mayor Martin J Walsh - 28 State St,42.35892,-71.057629,South Station - 700 Atlantic Ave.,42.352175,-71.055547
23,23,779,Mayor Martin J Walsh - 28 State St,42.35892,-71.057629,Mayor Martin J Walsh - 28 State St,42.35892,-71.057629
16,39,778,Back Bay / South End Station,42.34807412317439,-71.07657015323639,Washington St. at Rutland St.,42.338623,-71.074182
57,16,775,Columbus Ave. at Mass. Ave.,42.340799,-71.081572,Back Bay / South End Station,42.34807412317439,-71.07657015323639
85,38,774,Spaulding Rehabilitation Hospital - Charlestown Navy Yard,42.378338,-71.048927,TD Garden - Causeway at Portal Park #2,42.366222,-71.059914
67,36,770,MIT at Mass Ave / Amherst St,42.3581,-71.093198,Boston Public Library - 700 Boylston St.,42.349673,-71.077303
9,33,769,Agganis Arena - 925 Comm Ave.,42.351246,-71.115639,Kenmore Sq / Comm Ave,42.348706,-71.097009
116,80,759,359 Broadway - Broadway at Fayette Street,42.370803,-71.104412,MIT Stata Center at Vassar St / Main St,42.3619622,-71.0920526
60,42,758,Charles Circle - Charles St. at Cambridge St.,42.360835,-71.0708399,Boylston St. at Arlington St.,42.352033,-71.070627
10,41,753,B.U. Central - 725 Comm. Ave.,42.350406,-71.108279,Packard's Corner - Comm. Ave. at Brighton Ave.,42.352261,-71.123831
110,104,748,Harvard University Gund Hall at Quincy St / Kirkland S,42.376369,-71.114025,Harvard University Radcliffe Quadrangle at Shepard St / Garden St,42.380287,-71.125107
17,74,747,Harvard University Housing - 111 Western Ave. at Soldiers Field Park,42.365064,-71.119233,Harvard Square at Mass Ave/ Dunster,42.373268,-71.118579
104,73,745,Harvard University Radcliffe Quadrangle at Shepard St / Garden St,42.380287,-71.125107,Harvard Square at Brattle St / Eliot St,42.373231,-71.120886
104,110,743,Harvard University Radcliffe Quadrangle at Shepard St / Garden St,42.380287,-71.125107,Harvard University Gund Hall at Quincy St / Kirkland S,42.376369,-71.114025
22,39,726,South Station - 700 Atlantic Ave.,42.352175,-71.055547,Washington St. at Rutland St.,42.338623,-71.074182
22,150,723,South Station - 700 Atlantic Ave.,42.352175,-71.055547,State Street at Channel Center,42.344137,-71.052608
87,110,723,Harvard University Housing - 115 Putnam Ave at Peabody Terrace,42.366621,-71.114214,Harvard University Gund Hall at Quincy St / Kirkland S,42.376369,-71.114025
116,76,722,359 Broadway - Broadway at Fayette Street,42.370803,-71.104412,Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St,42.366426,-71.105495
39,22,720,Washington St. at Rutland St.,42.338623,-71.074182,South Station - 700 Atlantic Ave.,42.352175,-71.055547
64,22,720,Congress / Sleeper,42.3511,-71.0496,South Station - 700 Atlantic Ave.,42.352175,-71.055547
91,88,720,One Kendall Square at Hampshire St / Portland St,42.366277,-71.09169,Inman Square at Vellucci Plaza / Hampshire St,42.374035,-71.101427
74,68,715,Harvard Square at Mass Ave/ Dunster,42.373268,-71.118579,Central Square at Mass Ave / Essex St,42.36507,-71.1031
115,91,710,Porter Square Station,42.387995,-71.119084,One Kendall Square at Hampshire St / Portland St,42.366277,-71.09169
22,64,707,South Station - 700 Atlantic Ave.,42.352175,-71.055547,Congress / Sleeper,42.3511,-71.0496
13,16,704,Boston Medical Center -  East Concord at Harrison Ave,42.336437,-71.073089,Back Bay / South End Station,42.34807412317439,-71.07657015323639
22,49,701,South Station - 700 Atlantic Ave.,42.352175,-71.055547,Stuart St. at Charles St.,42.351146,-71.066289
36,36,701,Boston Public Library - 700 Boylston St.,42.349673,-71.077303,Boston Public Library - 700 Boylston St.,42.349673,-71.077303
74,75,698,Harvard Square at Mass Ave/ Dunster,42.373268,-71.118579,Lafayette Square at Mass Ave / Main St / Columbia St,42.36346469304347,-71.10057324171066
23,6,688,Mayor Martin J Walsh - 28 State St,42.35892,-71.057629,Cambridge St. at Joy St.,42.361174,-71.065142
55,45,687,Boylston / Mass Ave,42.347265,-71.088088,Yawkey Way at Boylston St.,42.344706,-71.097515
74,17,687,Harvard Square at Mass Ave/ Dunster,42.373268,-71.118579,Harvard University Housing - 111 Western Ave. at Soldiers Field Park,42.365064,-71.119233
140,115,686,Danehy Park,42.388966,-71.132788,Porter Square Station,42.387995,-71.119084
9,10,685,Agganis Arena - 925 Comm Ave.,42.351246,-71.115639,B.U. Central - 725 Comm. Ave.,42.350406,-71.108279
22,31,685,South Station - 700 Atlantic Ave.,42.352175,-71.055547,Seaport Hotel,42.348833,-71.041747
60,72,681,Charles Circle - Charles St. at Cambridge St.,42.360835,-71.0708399,One Broadway / Kendall Sq at Main St / 3rd St,42.362613,-71.084105
95,90,680,Cambridge St - at Columbia St / Webster Ave,42.372969,-71.094445,Lechmere Station at Cambridge St / First St,42.370677,-71.076529
